#{"t_start": 1619608086.0511167, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-130.10775,54,1.836414
-688.762102,214,3.220861
-501.537319,115,3.867019
-1001.451972,145,5.122367
-388.732372,153,5.979834
-109.772349,61,6.589971
-457.097531,83,7.269107
-290.81053,88,7.981285
-380.395817,55,8.068304
-464.69548,66,8.855482
-579.146474,75,9.514618
-832.127114,88,9.674667
-318.774314,79,10.285804
-321.446388,78,10.89194
-437.712793,66,11.580095
-696.066242,80,11.725112
-787.367426,86,12.412283
-478.739635,73,13.114427
-486.338346,72,13.764588
-444.415316,61,13.881597
-551.2232,60,14.255679
-590.774685,66,14.751872
-426.398639,55,14.848815
-495.434742,76,15.518965
-510.241982,65,16.122111
-460.336959,62,16.232143
-439.427488,60,16.893276
-336.292927,53,16.974294
-790.482765,81,17.681452
-1062.165402,98,18.39163
-538.121947,69,19.08577
-1071.490525,114,19.859945
-411.151655,59,20.513092
-587.700798,62,20.623117
-800.873731,77,21.331277
-514.488372,67,22.022449
-775.332929,80,22.161479
-567.940887,63,22.756613
-420.131393,93,23.289733
-489.204593,65,23.819853
-465.717449,53,23.912858
-1009.622168,92,24.625034
-913.863243,83,25.315189
-578.690408,63,25.930328
-717.806224,82,26.078342
-860.446305,87,26.475451
-836.118881,81,27.160605
-501.81146,58,27.797732
-910.906542,85,28.459898
-719.979173,71,28.572909
-794.248171,85,29.289085
-810.914248,89,30.024231
-825.896127,87,30.7544
-510.960652,56,30.852437
-680.232821,73,31.557595
-977.06677,84,32.244751
-701.7013,70,32.945017
-1031.483396,86,33.47374
-856.138327,81,33.610811
-463.947246,72,34.279134
-463.927743,72,34.766724
-541.245121,60,34.871744
-725.583274,75,35.553901
-191.189847,54,36.21905
-66.755082,97,36.915207
-63.31206,57,37.001224
-320.546565,250,39.141934
-154.37546,58,39.230985
-194.388132,80,39.919647
-183.052825,88,40.595783
-215.946272,63,41.263933
-122.206909,86,41.394979
-140.149867,68,42.05913
-124.091517,68,42.712294
-197.898076,86,43.416434
-160.719287,146,44.227617
-133.839897,80,44.902755
-148.815765,83,45.608929
-131.578368,81,46.28816
-125.173109,141,46.993224
-151.391651,97,47.639385
-149.798658,58,48.282531
-122.243276,55,48.364551
-165.238701,66,49.0347
-121.120856,86,49.689847
-307.220604,89,49.828863
-126.891504,91,50.542027
-187.830497,77,51.217191
-100.155581,62,51.87634
-342.827259,79,52.469473
-123.72104,105,53.161629
-205.767658,65,53.247649
-100.809566,119,54.034825
-190.527933,78,54.709978
-234.427369,123,55.467133
-156.966668,81,56.124283
-137.501554,72,56.798449
-127.818687,58,57.433576
-123.088691,80,57.553602
-102.875622,54,58.188745
-155.289412,71,58.663853
-96.897767,55,58.71088
-141.65795,82,59.366011
-343.571338,82,60.079173
-109.117394,83,60.716315
-174.705664,78,60.847361
-281.316607,100,61.522513
-137.076148,54,62.123631
-103.955862,62,62.770794
-81.175453,112,63.444946
-123.499969,85,64.16109
-247.279509,146,64.951286
-109.075986,119,65.723444
-134.75939,82,66.352583
-175.403234,113,67.022738
-148.629437,64,67.65888
-222.054597,67,67.76992
-21.547137,89,68.499666
-91.049671,86,69.214734
-205.374542,83,69.830865
-127.50571,70,70.503017
-105.613944,61,70.583032
-107.771431,88,71.475252
-148.845846,92,72.137401
-55.734334,94,72.852632
-172.151478,229,74.462138
-220.526217,55,75.065445
-130.891632,82,75.728807
-142.498355,72,75.840921
-85.08227,94,76.550992
-109.124349,113,77.868289
-128.164354,79,77.96131
-174.960637,80,78.665451
-262.588205,147,80.034778
-168.438839,270,81.927203
-278.992636,153,83.254484
-122.199911,81,83.916652
-223.192834,126,84.698809
-123.170159,73,85.35296
-114.196326,77,85.477004
-202.557388,130,86.887321
-160.192347,70,86.980342
-128.961783,131,88.292634
-70.516501,127,89.118823
-91.716153,73,89.810962
-306.528378,214,91.217296
-111.41735,178,92.688628
-116.645851,127,93.548821
-111.101757,118,94.301991
-150.114133,79,94.987145
-215.36768,90,95.646294
-129.477667,87,96.310509
-101.963422,56,96.398463
-145.681465,61,97.063596
-99.992427,79,97.743749
32.577598,113,98.488919
-98.343187,69,98.611962
-114.758389,104,99.347114
-115.608295,55,100.012277
-117.995237,239,101.777675
-119.274076,147,103.079952
-101.665067,178,104.493057
-202.073937,126,105.259374
-88.658342,166,106.554265
-141.58361,73,106.656303
-168.22521,99,107.364465
-146.522695,79,108.106934
-48.698598,122,108.839164
-149.432117,95,109.18624
-128.930525,71,109.667472
-147.400503,74,110.324636
-137.417884,104,111.051799
-113.412773,52,111.125816
-159.325996,144,111.995993
-124.59407,67,112.043004
-103.546792,85,112.360074
-123.915862,88,112.667153
-121.904049,77,113.324295
-127.534809,94,114.02845
-105.243823,124,114.761635
-534.816028,111,115.520806
-483.97908,215,117.085158
-104.981802,108,117.849315
-120.417443,104,118.576494
-127.341743,96,119.312651
-93.537088,96,120.041824
-89.030072,59,120.702958
-128.029205,86,121.218089
-122.36907,100,121.892241
-84.29616,96,122.638409
-100.683475,227,124.325789
56.913705,154,125.771096
-384.211021,313,128.049619
-106.836622,131,128.739784
-129.155071,189,130.180109
-134.748229,194,131.724456
-120.394618,180,133.040734
-231.207877,117,133.452831
-92.371487,119,134.172523
-114.397711,63,134.668566
-69.306485,108,135.384727
-165.277169,85,136.048878
-134.136688,125,136.828053
-98.793804,150,137.64322
-128.467845,62,138.295383
-89.332294,67,138.986607
-409.661864,291,141.461932
-94.9334,100,142.296173
-136.130581,125,143.077296
-147.038014,71,143.188307
-185.770896,70,143.831465
-139.885994,98,144.517601
-128.518772,169,145.972933
-86.761465,149,146.82614
60.249903,130,148.153423
-124.451295,128,148.954604
-77.882002,105,149.764786
-149.213973,142,150.536976
-130.964706,73,151.215129
-121.535031,116,151.939277
-116.477246,76,152.627429
-129.202509,128,153.394604
-155.723446,91,154.067771
-235.238203,103,154.797936
-125.122574,78,155.484075
-501.365474,328,157.998641
-92.478875,88,158.725803
-138.981981,194,160.233144
-101.100666,106,160.959308
-182.901198,148,162.302618
-112.441596,81,162.402635
-133.278935,75,163.090788
-140.00937,159,164.213042
-103.854013,100,164.940221
-51.974485,104,165.696391
-121.766883,68,166.374544
-535.201013,537,171.383024
-191.910488,141,172.245234
-104.133018,124,173.459513
-71.354543,132,174.190491
-131.47316,125,174.949748
-122.16549,103,175.668978
-116.739501,64,176.340437
-160.941133,173,177.824772
-117.840485,75,177.946799
-130.690334,99,178.657959
-93.129863,62,179.34017
-137.777395,53,179.424116
-107.900662,135,180.829431
-56.34108,127,181.612608
-108.172822,63,182.180753
-285.286126,172,183.055942
-108.988727,89,183.760109
-111.896439,123,185.063387
-337.278314,201,186.588746
-149.016203,72,186.700753
-142.691606,164,188.148097
-37.85899,98,188.73623
-338.221553,135,189.583402
-139.00285,58,190.225565
-136.484987,112,190.914813
-143.040021,102,191.659888
-400.589272,160,193.078208
-162.671769,180,193.902377
-41.337861,90,194.573528
-140.777918,72,195.258699
-98.673829,104,195.965842
-88.476768,201,197.473182
-70.369395,135,198.215365
-124.691769,57,198.85751
-103.030242,136,199.696699
-265.751031,161,201.17811
-135.400097,93,201.891178
-484.378233,268,203.994668
-124.06355,91,204.140701
-77.758237,140,205.476983
-375.431172,156,206.331867
-205.557851,131,207.736903
-129.185442,103,208.346038
-109.21585,127,209.1322
-125.857635,76,209.842494
-123.285959,91,210.407646
-161.917368,129,211.235964
-50.524545,111,212.012178
-137.483765,127,212.831633
-40.92651,112,213.590804
-118.725441,82,214.262939
-321.081655,171,215.640265
-278.911983,134,216.498459
-87.507966,136,217.892759
-92.477647,68,217.984795
-68.629797,128,219.310092
-119.564684,88,220.031255
-257.723848,204,221.536593
-66.467446,136,222.323755
-140.991861,77,223.033917
-66.2169,110,223.804088
-151.038455,147,224.602268
-104.983391,133,225.980595
-90.96005,119,226.709743
-147.66137,167,227.580937
-200.956022,173,228.875247
-244.496132,139,230.192544
-68.502027,95,230.950714
-69.466166,141,231.805907
-81.468844,147,232.456054
-204.195931,177,233.904381
