#{"t_start": 1619618349.1137214, "env_id": null}
r,l,t
-5927.0,60,0.99099
-5865.24,60,1.108995
-5966.63,60,1.207033
-5976.26,60,1.31104
-5962.81,60,1.411994
-5848.54,60,1.512494
-5928.98,60,1.616517
-6005.58,60,1.715539
-6164.9,60,1.804559
-6025.94,60,1.880575
-5964.03,60,1.956592
-5943.96,60,2.03161
-6105.26,60,2.104637
-6137.67,60,2.177643
-5917.17,60,2.249659
-6247.55,60,2.321675
-5966.41,60,2.433711
-5931.29,60,2.529722
-6122.28,60,2.62376
-5977.17,60,2.723768
-6095.15,60,2.856797
-6211.23,60,3.012849
-6097.71,60,3.125859
-6020.66,60,3.231882
-6106.17,60,3.323901
-6234.1,60,3.401919
-6055.13,60,3.480937
-6088.61,60,3.559965
-5999.55,60,3.638983
-6168.91,60,3.71999
-6146.21,60,3.800008
-6031.49,60,3.879027
-6141.01,60,3.957044
-6096.22,60,4.045063
-6133.3,60,4.123081
-6145.95,60,4.203099
-6072.97,60,4.282116
-6028.62,60,4.361136
-6013.78,60,4.439152
-6161.44,60,4.515169
-6200.81,60,4.593198
-6027.54,60,4.672204
-6086.28,60,4.751233
-6071.34,60,4.82924
-5935.16,60,4.908258
-6130.77,60,4.984275
-6110.02,60,5.064294
-6128.89,60,5.14231
-6277.39,60,5.221328
-5956.28,60,5.299346
-6006.15,60,5.383365
-5961.07,60,5.462383
-5960.8,60,5.5444
-6256.8,60,5.625419
-6286.99,60,5.704437
-6164.44,60,5.784455
-6181.24,60,5.863483
-6141.81,60,5.942501
-6105.39,60,6.022508
-6261.45,60,6.101527
-6214.11,60,6.182545
-5985.85,60,6.262574
-6117.27,60,6.343581
-6153.61,60,6.421599
-6164.02,60,6.499616
-6113.17,60,6.575633
-6084.38,60,6.658653
-6023.26,60,6.737669
-5978.72,60,6.816688
-6096.83,60,6.891705
-6115.69,60,6.968722
-6208.0,60,7.045739
-6128.12,60,7.121756
-6255.18,60,7.196773
-6317.13,60,7.27179
-5943.28,60,7.347807
-6150.4,60,7.425825
-6153.34,60,7.502842
-6351.6,60,7.577858
-6034.92,60,7.654876
-6078.22,60,7.729893
-6054.19,60,7.799909
-6040.82,60,7.872926
-6041.71,60,7.950943
-6116.38,60,8.037962
-6115.17,60,8.142986
-6216.51,60,8.253012
-5909.5,60,8.346032
-6183.13,60,8.423049
-6159.63,60,8.500067
-5902.02,60,8.575083
-6053.62,60,8.653101
-6194.95,60,8.731119
-6129.68,60,8.806135
-6190.3,60,8.883153
-6090.2,60,8.95917
-6194.56,60,9.033187
-6100.84,60,9.111205
-6181.84,60,9.186221
-6246.72,60,9.261238
-6067.36,60,9.342256
-6104.71,60,9.421274
-6184.96,60,9.518296
-6123.09,60,9.599314
-6161.07,60,9.678332
-6075.9,60,9.75735
-6175.59,60,9.837368
-6128.84,60,9.917386
-6038.42,60,9.995404
-6277.18,60,10.074421
-5993.1,60,10.15245
-6174.74,60,10.232457
-6224.72,60,10.310485
-6077.37,60,10.389492
-6118.06,60,10.46851
-6149.55,60,10.550528
-6019.11,60,10.633559
-6005.69,60,10.713565
-6086.3,60,10.793584
-6135.7,60,10.8706
-6165.22,60,10.949629
-6107.97,60,11.028636
-6064.78,60,11.109654
-6060.77,60,11.189672
-6026.28,60,11.270691
-6032.26,60,11.349709
-6027.78,60,11.427726
-5997.99,60,11.504744
-6001.78,60,11.579769
-6156.9,60,11.654777
-6098.93,60,11.729794
-6058.25,60,11.809812
-6148.04,60,11.881828
-6124.75,60,11.958846
-6042.2,60,12.029871
-5996.64,60,12.103887
-6081.68,60,12.177895
-5865.57,60,12.252912
-6054.05,60,12.325938
-6138.5,60,12.397944
-5936.13,60,12.46997
-5982.17,60,12.543977
-6120.8,60,12.614994
-5995.41,60,12.68701
-6054.64,60,12.760026
-6120.7,60,12.831042
-6277.81,60,12.906059
-5941.84,60,12.978075
-6192.07,60,13.050092
-6063.44,60,13.123109
-6191.29,60,13.203126
-6093.69,60,13.275142
-6245.78,60,13.347158
-6113.26,60,13.415173
-6265.17,60,13.482189
-6104.66,60,13.549204
-6226.78,60,13.616219
-6312.42,60,13.683234
-6414.95,60,13.750249
-6221.58,60,13.815264
-6301.67,60,13.882279
-6156.63,60,13.949294
-6178.47,60,14.016309
-6239.27,60,14.084324
-6150.17,60,14.151339
-6129.46,60,14.218355
-6266.22,60,14.291371
-5932.0,60,14.359387
-6246.03,60,14.427402
-6135.61,60,14.493417
-6118.52,60,14.559431
-6109.82,60,14.626447
-6453.71,60,14.693462
-6287.92,60,14.759477
-6054.09,60,14.825491
-6094.69,60,14.891506
-6202.25,60,14.956521
-6050.7,60,15.023536
-6030.07,60,15.090551
-6141.17,60,15.156566
-6008.01,60,15.222581
-6112.13,60,15.288595
-5923.64,60,15.354611
-6036.64,60,15.425627
-6180.1,60,15.490642
-6014.85,60,15.559657
-6064.28,60,15.627672
-6111.67,60,15.693687
-6118.25,60,15.759702
-6141.67,60,15.826717
-6264.13,60,15.892733
-6118.85,60,15.959748
-6213.17,60,16.026762
-5998.1,60,16.092777
-6027.34,60,16.159792
-6265.98,60,16.227808
-6168.66,60,16.293823
-6134.98,60,16.361838
-6246.85,60,16.428853
-6164.89,60,16.495868
-6066.77,60,16.567884
-6299.43,60,16.634899
-6119.4,60,16.701915
-6055.88,60,16.77093
-6243.68,60,16.836944
-6252.56,60,16.90396
-6182.32,60,16.970975
-5943.8,60,17.037989
-6210.33,60,17.108005
-6148.68,60,17.175021
-6122.74,60,17.243036
-6052.15,60,17.308051
-6021.8,60,17.375066
-6188.49,60,17.440081
-6311.48,60,17.513096
-6011.26,60,17.581113
-6072.98,60,17.65213
-6229.43,60,17.718143
-6339.87,60,17.784158
-6276.14,60,17.850173
-6225.66,60,17.917188
-6356.69,60,17.983202
-6147.64,60,18.049218
-6394.78,60,18.115242
-6077.94,60,18.182248
-6244.49,60,18.248263
-6283.19,60,18.316278
-6159.88,60,18.385293
-6213.33,60,18.452309
-6284.02,60,18.517324
-6121.24,60,18.582338
-6306.19,60,18.648354
-6031.7,60,18.714368
-6274.51,60,18.785384
-6135.75,60,18.852399
-6168.72,60,18.919414
-6063.1,60,18.985429
-6130.51,60,19.053444
-6211.73,60,19.120459
-6213.2,60,19.186474
-6156.58,60,19.253489
