#{"t_start": 1619618464.0768766, "env_id": null}
r,l,t
-5898.05,60,1.964443
-5961.25,60,2.111477
-5957.97,60,2.25951
-5865.75,60,2.409561
-5972.22,60,2.56658
-5829.3,60,2.716614
-6093.91,60,2.853644
-6012.96,60,2.993676
-5973.49,60,3.142709
-6139.4,60,3.28374
-5910.44,60,3.434774
-6039.68,60,3.578825
-6116.27,60,3.716838
-5989.26,60,3.831865
-5939.88,60,3.933889
-5909.12,60,4.03591
-6024.01,60,4.194947
-6042.52,60,4.303969
-5917.38,60,4.413995
-6000.99,60,4.547024
-5936.92,60,4.66105
-6123.6,60,4.769074
-6095.36,60,4.865095
-6116.41,60,4.978121
-6067.64,60,5.064142
-6129.51,60,5.176166
-5995.95,60,5.275188
-5967.55,60,5.382212
-6061.12,60,5.474234
-6032.31,60,5.583266
-6119.98,60,5.68128
-5999.81,60,5.790304
-5962.94,60,5.903329
-6017.48,60,6.017355
-5997.41,60,6.126381
-6055.88,60,6.233403
-6006.38,60,6.330426
-6099.79,60,6.43845
-5986.59,60,6.536471
-5970.99,60,6.629493
-5943.64,60,6.739518
-5922.94,60,6.841541
-6074.12,60,6.941563
-5922.94,60,7.040586
-6057.37,60,7.156611
-5971.18,60,7.254634
-6068.84,60,7.352665
-6090.01,60,7.443676
-6011.56,60,7.5487
-6067.94,60,7.63172
-6119.25,60,7.718738
-6091.83,60,7.822763
-6255.96,60,7.918784
-6174.97,60,8.018806
-6050.82,60,8.112836
-6100.47,60,8.227853
-6077.26,60,8.308871
-6111.08,60,8.395892
-5998.61,60,8.494914
-6123.23,60,8.588935
-6134.0,60,8.691958
-6158.62,60,8.797982
-6010.05,60,8.902005
-6025.5,60,8.990025
-6196.07,60,9.095049
-6208.45,60,9.195071
-6055.62,60,9.296093
-6157.15,60,9.401118
-5976.28,60,9.490138
-6062.42,60,9.58916
-6087.53,60,9.689191
-6123.39,60,9.789205
-6145.34,60,9.886227
-5858.73,60,9.973246
-5989.41,60,10.070268
-5922.99,60,10.172291
-5973.21,60,10.266312
-6246.22,60,10.373336
-6037.01,60,10.469358
-6090.21,60,10.549376
-6015.99,60,10.652399
-6175.86,60,10.751422
-6032.56,60,10.851444
-6093.54,60,10.940464
-6043.3,60,11.028484
-6024.67,60,11.130507
-5989.44,60,11.235531
-6095.92,60,11.329552
-6104.67,60,11.434575
-6064.05,60,11.523596
-6084.71,60,11.612616
-6074.34,60,11.711638
-6108.19,60,11.805668
-5990.38,60,11.908692
-6003.35,60,12.003703
-5994.76,60,12.105727
-5899.01,60,12.20575
-6163.0,60,12.310773
-6096.95,60,12.405795
-6126.04,60,12.493814
-6264.24,60,12.592837
-6103.46,60,12.691859
-6120.28,60,12.78888
-6048.86,60,12.882902
-6210.69,60,12.980924
-6052.72,60,13.073945
-6053.57,60,13.171968
-6110.57,60,13.268989
-5976.83,60,13.390016
-6012.35,60,13.50004
-6008.64,60,13.595063
-5934.66,60,13.687083
-5929.16,60,13.786105
-6204.55,60,13.890128
-6087.41,60,13.97915
-6232.55,60,14.069169
-6096.97,60,14.171192
-5926.04,60,14.270214
-5941.77,60,14.365236
-6161.15,60,14.462258
-6088.52,60,14.558279
-6057.95,60,14.6513
-6099.29,60,14.749323
-6101.66,60,14.839343
-5987.34,60,14.935365
-6036.28,60,15.031385
-6105.68,60,15.126407
-6125.92,60,15.226431
-6023.66,60,15.330453
-6059.8,60,15.426474
-6006.52,60,15.513495
-6012.86,60,15.60452
-5938.81,60,15.691535
-6059.42,60,15.793557
-5917.44,60,15.877576
-6052.59,60,15.971597
-6037.14,60,16.073621
-6091.24,60,16.15964
-6079.67,60,16.255661
-5845.0,60,16.354684
-6084.22,60,16.449705
-6046.82,60,16.554728
-5909.63,60,16.662753
-6061.09,60,16.760776
-6021.13,60,16.859797
-5954.67,60,16.964821
-6182.63,60,17.058843
-6055.36,60,17.148863
-6032.98,60,17.234884
-6090.69,60,17.324903
-6084.61,60,17.432927
-6080.62,60,17.520947
-5837.75,60,17.629971
-5945.45,60,17.725992
-6051.3,60,17.823014
-5954.83,60,17.930048
-6027.54,60,18.031061
-5929.16,60,18.128083
-5980.45,60,18.227106
-5973.58,60,18.324128
-6028.53,60,18.435152
-5979.42,60,18.533175
-6004.15,60,18.631196
-6031.82,60,18.710215
-5968.93,60,18.804236
-6114.16,60,18.900257
-5891.64,60,18.99928
-6179.65,60,19.098302
-6123.42,60,19.203326
-6065.11,60,19.285344
-6002.11,60,19.374364
-5934.17,60,19.472386
-6083.87,60,19.57641
-5926.1,60,19.679433
-6128.31,60,19.768452
-6123.32,60,19.855472
-6113.3,60,19.950494
-5990.36,60,20.037513
-5996.92,60,20.146538
-6222.01,60,20.240559
-6011.92,60,20.341582
-5989.41,60,20.438604
-6004.47,60,20.544627
-5981.75,60,20.647651
-5993.14,60,20.740672
-6235.05,60,20.839694
-6231.57,60,20.927714
-6214.81,60,21.028737
-6168.15,60,21.123758
-6014.62,60,21.22178
-6197.0,60,21.317802
-5989.93,60,21.418824
-6082.63,60,21.516847
-6166.2,60,21.600865
-6098.21,60,21.689886
-6136.63,60,21.783916
-6335.07,60,21.881929
-6028.13,60,21.986962
-6062.26,60,22.080973
-6017.74,60,22.180997
-6219.62,60,22.28402
-5948.7,60,22.383041
-6008.89,60,22.483064
-6241.17,60,22.579086
-6058.48,60,22.677109
-6121.06,60,22.773129
-6084.74,60,22.887155
-6113.97,60,22.976176
-6153.22,60,23.086201
-6052.12,60,23.184222
-6190.16,60,23.289245
