#{"t_start": 1619618626.907761, "env_id": null}
r,l,t
-5846.44,60,3.086713
-5888.01,60,3.226727
-5961.27,60,3.368759
-5902.26,60,3.518792
-5846.52,60,3.668825
-6012.13,60,3.807858
-5908.98,60,3.935885
-6112.57,60,4.047921
-6094.47,60,4.155936
-6036.83,60,4.287965
-6070.91,60,4.380985
-6006.44,60,4.470006
-6009.63,60,4.57403
-6153.55,60,4.665051
-6193.9,60,4.738066
-6061.87,60,4.811083
-5999.32,60,4.936111
-6094.18,60,5.007127
-6028.56,60,5.078143
-6020.4,60,5.147158
-6164.48,60,5.213173
-5968.08,60,5.283198
-5999.31,60,5.352204
-5908.51,60,5.420229
-5909.46,60,5.485243
-5906.49,60,5.552249
-5856.93,60,5.622265
-5894.25,60,5.691281
-5958.33,60,5.758296
-5811.04,60,5.82231
-6110.24,60,5.891327
-5939.21,60,5.960341
-5967.98,60,6.026365
-5970.89,60,6.104374
-6100.85,60,6.17039
-6094.78,60,6.235412
-5949.69,60,6.302418
-6067.75,60,6.369433
-6175.23,60,6.436449
-5973.55,60,6.505464
-6065.1,60,6.573479
-6078.22,60,6.645496
-6097.75,60,6.711511
-6108.69,60,6.779526
-6098.35,60,6.844541
-6136.96,60,6.912557
-5866.79,60,6.979572
-6093.08,60,7.047586
-5999.63,60,7.117602
-6045.0,60,7.185627
-6204.46,60,7.257634
-6029.24,60,7.325658
-5967.97,60,7.391673
-6089.17,60,7.457688
-6189.89,60,7.522693
-6368.92,60,7.588708
-6202.56,60,7.654724
-6134.53,60,7.724739
-6090.74,60,7.792754
-6303.84,60,7.860279
-6220.54,60,7.930295
-6178.0,60,7.99632
-6117.53,60,8.062339
-6202.55,60,8.126353
-6074.75,60,8.193359
-6098.06,60,8.258373
-6151.35,60,8.329402
-6058.43,60,8.398408
-6160.6,60,8.463531
-5994.31,60,8.530262
-6000.15,60,8.598278
-5943.38,60,8.666293
-6090.87,60,8.734309
-6070.98,60,8.801324
-5895.46,60,8.869339
-6105.04,60,8.939354
-5971.15,60,9.008371
-5991.15,60,9.075394
-5860.92,60,9.143401
-5958.21,60,9.211416
-6145.37,60,9.281441
-5963.56,60,9.350447
-5972.22,60,9.418463
-6016.45,60,9.489479
-6096.09,60,9.556494
-5983.21,60,9.621508
-5899.94,60,9.689524
-6118.54,60,9.756538
-5949.26,60,9.825554
-5949.09,60,9.89257
-6096.55,60,9.957584
-5977.63,60,10.0256
-5939.88,60,10.090614
-5974.29,60,10.154629
-6132.52,60,10.218643
-5962.82,60,10.288658
-6029.32,60,10.352673
-6045.6,60,10.418688
-5989.1,60,10.485703
-6146.61,60,10.549718
-6013.68,60,10.622735
-6125.17,60,10.689749
-6089.26,60,10.756764
-6136.75,60,10.824779
-6139.49,60,10.889794
-6114.36,60,10.958819
-6143.41,60,11.027825
-6266.09,60,11.094841
-6212.0,60,11.161855
-6140.45,60,11.23288
-6287.4,60,11.301887
-6391.67,60,11.367902
-6212.11,60,11.432916
-6185.26,60,11.499931
-6135.93,60,11.567947
-6118.33,60,11.641963
-6139.41,60,11.71298
-6164.74,60,11.781004
-6118.28,60,11.84701
-6095.92,60,11.915034
-6046.13,60,11.982041
-6188.4,60,12.047056
-6165.44,60,12.11307
-6151.58,60,12.179094
-6061.55,60,12.2471
-6165.13,60,12.314116
-6337.14,60,12.37913
-6023.48,60,12.445145
-6046.11,60,12.51216
-6020.14,60,12.577175
-6114.89,60,12.640189
-6159.58,60,12.703203
-6064.0,60,12.766217
-5961.93,60,12.835408
-6140.84,60,12.900423
-6013.4,60,12.963437
-6223.93,60,13.027765
-6233.9,60,13.091789
-6117.73,60,13.157794
-6053.08,60,13.221809
-6185.81,60,13.287824
-6124.27,60,13.351838
-6312.2,60,13.414713
-6192.43,60,13.478718
-6216.8,60,13.543143
-6261.88,60,13.607167
-6198.1,60,13.671172
-6188.86,60,13.737187
-6111.12,60,13.802202
-6376.88,60,13.866215
-6206.94,60,13.935231
-6188.07,60,14.002247
-6130.36,60,14.066261
-6167.18,60,14.131275
-6269.51,60,14.194292
-6149.28,60,14.259305
-6261.65,60,14.32432
-6144.65,60,14.387333
-6091.05,60,14.451348
-6271.36,60,14.517363
-6159.43,60,14.582387
-6166.87,60,14.646393
-6359.98,60,14.711406
