#{"t_start": 1619618739.0488622, "env_id": null}
r,l,t
-5866.97,60,0.986221
-5876.69,60,1.100246
-5896.24,60,1.213273
-5916.16,60,1.318296
-5852.22,60,1.421337
-5978.42,60,1.533346
-6125.46,60,1.657372
-5890.12,60,1.772397
-6058.65,60,1.87442
-5977.83,60,1.966441
-6138.6,60,2.044458
-5926.53,60,2.14049
-5977.68,60,2.2315
-5983.4,60,2.314518
-6235.9,60,2.411551
-6159.43,60,2.49756
-6079.8,60,2.885648
-5987.07,60,3.050607
-5974.74,60,3.206411
-6085.25,60,3.358445
-6058.57,60,3.50948
-5976.5,60,3.656513
-5963.07,60,3.802546
-6145.01,60,3.946578
-6045.53,60,4.091611
-6078.07,60,4.236643
-5925.73,60,4.383677
-6042.36,60,4.527709
-5754.87,60,4.674742
-5901.24,60,4.814774
-5863.41,60,4.963807
-5843.16,60,5.105839
-5948.53,60,5.24587
-5977.82,60,5.397904
-5966.37,60,5.537936
-5989.88,60,5.678968
-5949.49,60,5.815999
-6051.46,60,5.95403
-5860.22,60,6.091061
-5784.05,60,6.229092
-6032.2,60,6.366297
-5947.57,60,6.504613
-5969.21,60,6.6416
-5945.36,60,6.778632
-5905.69,60,6.91379
-5946.24,60,7.051798
-5754.84,60,7.193807
-6120.43,60,7.333795
-5962.78,60,7.473827
-6045.44,60,7.619792
-5887.81,60,7.777829
-5945.31,60,7.918859
-5766.47,60,8.055799
-6007.29,60,8.193787
-5954.8,60,8.33302
-5922.92,60,8.46905
-5977.06,60,8.606132
-6032.23,60,8.743162
-5896.4,60,8.881193
-5959.14,60,9.018224
-6024.29,60,9.158256
-5775.58,60,9.296287
-5837.19,60,9.436318
-5984.18,60,9.574348
-5885.68,60,9.715381
-5883.79,60,9.848411
-5879.71,60,10.002445
-5829.25,60,10.137476
-6030.12,60,10.272507
-5872.05,60,10.407537
-5740.5,60,10.540567
-5794.06,60,10.674597
-5873.98,60,10.806627
-6016.07,60,10.937657
-5833.04,60,11.068686
-5829.87,60,11.202716
-5861.68,60,11.334747
-5708.61,60,11.467776
-5842.59,60,11.600806
-5796.44,60,11.733836
-5918.48,60,11.871867
-5926.41,60,12.004897
-5876.52,60,12.138927
-6007.32,60,12.28596
-5814.79,60,12.422992
-5913.24,60,12.556022
-5919.56,60,12.690052
-5916.44,60,12.826082
-5894.29,60,12.960112
-5917.18,60,13.096142
-6029.7,60,13.232173
-5926.15,60,13.368204
-5835.7,60,13.502234
-5918.85,60,13.635264
-5871.98,60,13.769294
-6084.39,60,13.900324
-6040.29,60,14.032353
-5935.92,60,14.165384
-5899.09,60,14.297413
-5804.35,60,14.429443
-5992.19,60,14.577477
-5911.71,60,14.710506
-5934.33,60,14.842536
-5925.88,60,14.980567
-5941.08,60,15.114598
-5833.52,60,15.246627
-5870.48,60,15.379656
-5908.37,60,15.514688
-5799.52,60,15.650718
-5942.99,60,15.786749
-5837.2,60,15.92178
-5749.94,60,16.056809
-5804.7,60,16.18984
-5884.52,60,16.32187
-5959.36,60,16.453899
-6003.24,60,16.585929
-5933.32,60,16.734962
-5788.57,60,16.866992
-5778.35,60,17.000022
-5872.93,60,17.134052
-5884.2,60,17.267082
-5854.43,60,17.400112
-5746.75,60,17.533143
-5921.37,60,17.666172
-5747.8,60,17.799202
-5773.18,60,17.930233
-5661.33,60,18.064262
-5737.48,60,18.198292
-5855.83,60,18.333323
-5695.05,60,18.467352
-5831.28,60,18.602384
-5761.94,60,18.738414
-5722.58,60,18.870444
-5770.06,60,19.018476
-5735.72,60,19.157508
-5718.91,60,19.303541
-5886.53,60,19.446573
-5759.85,60,19.578603
-5899.8,60,19.713634
-5841.91,60,19.849664
-5809.64,60,19.986695
-5806.34,60,20.120725
-5718.15,60,20.252755
-5708.04,60,20.385785
-5722.2,60,20.517815
-5649.22,60,20.651844
-5648.97,60,20.784874
-5780.08,60,20.920905
-5699.88,60,21.056936
-5653.58,60,21.193967
-5663.88,60,21.346001
-5639.92,60,21.482032
-5687.64,60,21.616061
-5690.33,60,21.748092
-5668.62,60,21.884122
-5862.09,60,22.017153
-5688.85,60,22.152183
-5728.76,60,22.284213
-5775.45,60,22.416242
-5754.45,60,22.548272
-5606.66,60,22.680302
-5745.43,60,22.814332
-5596.35,60,22.945361
-5631.72,60,23.077391
-5604.62,60,23.211421
-5587.77,60,23.349452
-5637.34,60,23.498486
-5676.3,60,23.635517
-5664.29,60,23.771547
-5741.82,60,23.905577
-5632.09,60,24.039608
-5668.15,60,24.174638
-5682.31,60,24.307668
-5659.34,60,24.442698
-5649.98,60,24.575729
-5762.51,60,24.707758
-5622.16,60,24.840788
-5636.32,60,24.974818
-5647.34,60,25.11685
-5666.65,60,25.24888
-5611.27,60,25.37991
-5607.62,60,25.511939
-5609.65,60,25.644969
-5646.49,60,25.794003
-5581.48,60,25.926033
-5561.4,60,26.059062
-5600.53,60,26.193093
-5637.57,60,26.329123
-5609.61,60,26.464154
