#{"t_start": 1619619113.6881702, "env_id": null}
r,l,t
-5903.9,60,0.786178
-5956.57,60,0.915226
-6013.59,60,1.239282
-5917.07,60,1.363315
-5757.91,60,1.486336
-5648.84,60,1.553353
-5892.74,60,1.647371
-6028.53,60,1.708395
-5961.51,60,1.796405
-5750.31,60,1.86342
-6015.43,60,2.016456
-6076.75,60,2.097475
-6070.89,60,2.217501
-6005.03,60,2.297524
-6173.28,60,2.409544
-6047.8,60,2.475558
-5844.59,60,2.575581
-5991.41,60,2.671601
-6148.09,60,2.726614
-6025.94,60,2.812633
-6319.66,60,2.883651
-6218.41,60,2.983673
-6106.64,60,3.040685
-5958.22,60,3.128705
-6038.19,60,3.184718
-6170.65,60,3.266736
-6203.14,60,3.324749
-5860.5,60,3.409779
-6043.7,60,3.478784
-6002.4,60,3.59281
-6117.41,60,3.665837
-6110.75,60,3.764851
-5959.84,60,3.906899
-6059.95,60,3.994903
-6140.25,60,4.091922
-6032.69,60,4.149935
-6045.47,60,4.234954
-6205.9,60,4.315972
-6277.87,60,4.415005
-6153.17,60,4.478008
-5989.08,60,4.561027
-6176.87,60,4.636046
-6232.42,60,4.809083
-6035.65,60,4.897105
-6190.66,60,5.037136
-6038.33,60,5.160164
-6152.92,60,5.298195
-6086.67,60,5.398217
-5856.39,60,5.491238
-6152.53,60,5.650276
-6057.49,60,5.786305
-6062.29,60,5.968363
-5980.58,60,6.072891
-6092.93,60,6.215962
-6035.66,60,6.308426
-6136.09,60,6.456474
-6113.46,60,6.538492
-6210.07,60,6.637558
-6067.37,60,6.726243
-6055.57,60,6.863273
-5988.6,60,6.965307
-5935.56,60,7.061317
-6180.32,60,7.129333
-6134.83,60,7.200348
-6096.05,60,7.313374
-6224.82,60,7.378388
-6220.3,60,7.479412
-6306.09,60,7.531423
-6216.83,60,7.60944
-6129.78,60,7.674457
-6127.7,60,7.795501
-6174.69,60,7.886505
-6077.24,60,8.009533
-6183.47,60,8.14056
-6156.82,60,8.295596
-6113.53,60,8.401628
-6139.88,60,8.54165
-6057.96,60,8.617668
-6153.47,60,8.726692
-6189.53,60,8.804727
-6164.95,60,8.89473
-6025.57,60,8.992752
-6349.12,60,9.051765
-6158.7,60,9.152812
-6032.98,60,9.234833
-6178.14,60,9.397156
-6044.44,60,9.491474
-6126.73,60,9.619504
-5961.49,60,9.699522
-5972.35,60,9.837466
-6211.29,60,9.960448
-6011.63,60,10.101457
-6113.96,60,10.217499
-5992.77,60,10.348591
-6084.14,60,10.411605
-5986.8,60,10.486109
-6084.13,60,10.579138
-6124.84,60,10.637145
-6178.77,60,10.729164
-6180.35,60,10.791178
-6064.29,60,10.881198
-6153.68,60,10.93721
-6139.1,60,11.02323
-6149.61,60,11.081244
-6054.82,60,11.160262
-6015.95,60,11.211283
-6115.97,60,11.29129
-6087.23,60,11.345304
-6070.37,60,11.476343
-6095.44,60,11.587375
-6003.32,60,11.748404
-6077.49,60,11.843416
-6137.21,60,11.931437
-6124.46,60,12.060466
-6090.51,60,12.141484
-5939.22,60,12.249506
-6214.43,60,12.31252
-6157.86,60,12.399539
-6107.43,60,12.463554
-6037.69,60,12.559577
-6088.6,60,12.624601
-6088.92,60,12.719612
-6108.25,60,12.781626
-6044.2,60,12.936661
-5920.06,60,13.014678
-6156.93,60,13.148709
-5942.38,60,13.241732
-6042.01,60,13.321749
-6115.72,60,13.438774
-6117.37,60,13.516801
-6026.41,60,13.628816
-6114.59,60,13.707834
-6187.33,60,13.80986
-6096.13,60,13.900878
-5982.71,60,14.03391
-6007.41,60,14.144943
-6066.85,60,14.294969
-6132.27,60,14.416996
-5984.15,60,14.572048
-6063.04,60,14.675072
-6173.38,60,14.79508
-6124.9,60,14.855093
-6087.94,60,14.942114
-6219.57,60,14.999125
-6202.81,60,15.054138
-6122.67,60,15.140157
-6044.92,60,15.190168
-6002.32,60,15.268254
-6046.21,60,15.327201
-6137.52,60,15.41823
-6069.57,60,15.481234
-6080.81,60,15.558252
-6090.56,60,15.612264
-6253.64,60,15.691281
-6065.86,60,15.763297
-6009.75,60,15.903331
-6085.75,60,16.025359
-5893.45,60,16.17239
-6078.58,60,16.265422
-5941.97,60,16.334426
-6129.82,60,16.430449
-6034.64,60,16.485461
-6076.95,60,16.57049
-6104.04,60,16.627492
-6141.16,60,16.713512
-6113.05,60,16.801532
-6015.03,60,16.946564
-6009.56,60,17.045605
-6130.03,60,17.158612
-5997.83,60,17.219625
-5939.68,60,17.317648
-6121.27,60,17.403669
-6248.3,60,17.556703
-6032.31,60,17.611714
-6058.14,60,17.690745
-6147.99,60,17.746927
-6011.57,60,17.800767
-6172.59,60,17.880775
-5943.02,60,17.934787
-6121.45,60,18.013805
-6181.97,60,18.066828
-6081.31,60,18.153838
-6046.04,60,18.211849
-6038.76,60,18.303871
-6063.78,60,18.364884
-6324.37,60,18.454904
-6054.76,60,18.508916
-6085.97,60,18.587934
-6139.6,60,18.651949
-6078.74,60,18.755972
-6201.62,60,18.815996
-5930.6,60,18.870998
-6129.57,60,18.957017
-6143.17,60,19.012031
-6174.73,60,19.098048
-6114.2,60,19.156063
-5987.87,60,19.241092
-5968.7,60,19.312097
-6101.03,60,19.408129
-6151.72,60,19.475144
-6014.04,60,19.578157
-5962.96,60,19.63717
-5990.17,60,19.72319
-5933.24,60,19.793209
-6055.45,60,19.902232
-6091.01,60,19.972263
-5996.63,60,20.079271
-6055.79,60,20.144286
-6109.66,60,20.210301
-6130.68,60,20.339328
-6117.14,60,20.444353
-6036.47,60,20.599388
-5946.03,60,20.673403
-6082.47,60,20.791431
-6108.8,60,20.857445
-6079.06,60,20.961479
-6146.11,60,21.023482
-6173.36,60,21.099499
-6084.27,60,21.153513
-6125.13,60,21.23153
-6026.05,60,21.291543
-6184.81,60,21.389565
-6085.99,60,21.448579
-6055.4,60,21.50359
-6022.14,60,21.583609
-6071.06,60,21.63562
-6248.08,60,21.71764
-6057.24,60,21.783654
-6156.4,60,21.883678
-5932.33,60,21.94469
-6153.88,60,22.03571
-6179.9,60,22.092723
-5960.73,60,22.187744
-6147.76,60,22.250759
-6060.02,60,22.339779
-6158.3,60,22.410814
-6106.58,60,22.588836
-6157.03,60,22.687859
-6074.94,60,22.825889
-6095.18,60,22.943916
-6167.6,60,23.071945
-6050.74,60,23.181969
-5972.13,60,23.251984
-6039.22,60,23.350007
-6024.86,60,23.407019
-5990.15,60,23.491039
-6136.25,60,23.559071
-6029.58,60,23.673081
-6195.03,60,23.745112
-6066.24,60,23.911135
-6084.49,60,24.031163
-6016.22,60,24.159189
-6044.0,60,24.219203
-6046.68,60,24.309223
-6058.57,60,24.370236
-6093.14,60,24.439253
-6110.18,60,24.528276
-6006.02,60,24.584285
-6166.97,60,24.669306
-5966.01,60,24.74033
-6042.42,60,24.844345
-6212.34,60,24.91938
-6065.58,60,25.024384
-6030.28,60,25.0834
-6083.07,60,25.175418
-5979.47,60,25.22843
-6018.99,60,25.311449
-5964.31,60,25.366462
-5996.61,60,25.44849
-6118.31,60,25.518506
-6062.38,60,25.657528
-6099.75,60,25.748549
-6121.24,60,25.836567
-6058.26,60,26.000622
-6141.35,60,26.111649
-6093.22,60,26.243659
-5967.05,60,26.32668
-6095.2,60,26.457709
-6038.93,60,26.572734
-6035.77,60,26.731788
-6063.35,60,26.855798
-6007.46,60,26.984827
-6133.45,60,27.044853
-6134.49,60,27.139861
-6088.62,60,27.195884
-6185.0,60,27.285894
-6179.68,60,27.342907
-5937.29,60,27.397929
-6147.59,60,27.477938
-5961.12,60,27.530949
-6143.48,60,27.617968
-6105.15,60,27.678991
-6110.87,60,27.777004
-5972.03,60,27.837017
-6041.34,60,27.927037
-6020.57,60,27.986068
-6028.53,60,28.124084
-6203.57,60,28.238108
-6070.67,60,28.389142
-6066.86,60,28.462159
-5967.15,60,28.589187
-6006.27,60,28.6482
-6009.5,60,28.73622
-6083.07,60,28.792233
-6020.94,60,28.848246
-6137.98,60,28.940277
-5960.69,60,29.009282
-5991.84,60,29.098301
-6062.18,60,29.153314
-6100.6,60,29.233331
-6106.75,60,29.288344
-6110.95,60,29.367362
-6039.27,60,29.428377
-5899.52,60,29.514407
-6053.48,60,29.569407
-5990.53,60,29.650436
-5906.1,60,29.714441
-5974.97,60,29.798459
-5967.39,60,29.855483
-5964.38,60,29.922487
-6036.27,60,30.010507
-6118.5,60,30.06952
-6066.46,60,30.16055
-6021.15,60,30.225555
-6073.25,60,30.308574
-6067.9,60,30.362586
-6062.88,60,30.445605
-6089.29,60,30.512639
-6091.83,60,30.618644
-6031.82,60,30.717669
-6158.74,60,30.857717
-6128.26,60,30.971724
-5998.44,60,31.117766
-5904.29,60,31.237785
-6038.53,60,31.375833
-6025.73,60,31.468838
-6055.3,60,31.544872
-6095.24,60,31.660881
-5981.65,60,31.732897
-6036.63,60,31.851924
-5962.64,60,31.924942
-6004.74,60,32.038966
-6027.05,60,32.130995
-6054.29,60,32.253014
-6066.26,60,32.363039
-5971.33,60,32.498068
-6031.39,60,32.598092
-5950.35,60,32.745123
-6036.96,60,32.845156
-5938.86,60,32.976175
-6082.3,60,33.037199
-6142.02,60,33.091201
-6020.4,60,33.174219
-6096.18,60,33.230232
-6009.28,60,33.313251
-6107.16,60,33.369264
-5976.49,60,33.458284
-6059.77,60,33.517297
-6138.29,60,33.603316
-6029.84,60,33.657328
-6017.81,60,33.741347
-5996.73,60,33.80036
-6007.29,60,33.934392
-5927.22,60,34.05742
-6000.26,60,34.231459
-6146.93,60,34.312478
-6082.89,60,34.435521
-6113.23,60,34.553533
-6015.38,60,34.653555
-6109.3,60,34.789586
-6009.17,60,34.875603
-6040.37,60,34.986627
-5908.79,60,35.04364
-6004.72,60,35.126659
-6004.82,60,35.180671
-6092.87,60,35.263691
-5953.38,60,35.318703
-5946.58,60,35.414724
-6088.01,60,35.48074
-6064.49,60,35.584774
-5988.66,60,35.645777
-6065.09,60,35.728796
-5988.83,60,35.781807
-6038.42,60,35.844822
-6067.8,60,35.934845
-5962.43,60,35.999858
-5980.32,60,36.121886
-6064.62,60,36.202904
-5978.96,60,36.328932
-6093.76,60,36.438957
-6048.09,60,36.595991
-5999.63,60,36.666025
-6061.92,60,36.77103
-6135.33,60,36.826043
-5927.86,60,36.90706
-5970.14,60,36.967075
-5953.88,60,37.044092
-6230.58,60,37.112107
-6130.13,60,37.192135
-6032.86,60,37.248138
-6043.59,60,37.309152
-6094.96,60,37.392171
-6102.21,60,37.446193
-6032.73,60,37.536202
-5994.7,60,37.613222
-6062.07,60,37.727246
-6041.62,60,37.784258
-5891.36,60,37.865276
-6054.27,60,37.921289
-6104.55,60,38.007819
-5985.32,60,38.065833
-6089.29,60,38.152853
-6007.94,60,38.208864
-6002.53,60,38.289896
-5986.38,60,38.342911
-6021.62,60,38.393926
-5863.43,60,38.481398
-6047.56,60,38.555024
-6072.85,60,38.648045
-5982.45,60,38.702057
-5916.76,60,38.785076
-6014.37,60,38.836098
-6042.34,60,38.919106
-5963.58,60,38.976119
-6051.8,60,39.054137
-5953.96,60,39.110149
-6032.8,60,39.194168
-5945.69,60,39.259182
-5985.49,60,39.360205
-5989.03,60,39.418219
-6015.74,60,39.532254
-6006.59,60,39.592268
-5959.55,60,39.651271
-6034.12,60,39.747293
-6107.74,60,39.815307
-5975.8,60,39.908329
-5951.98,60,39.963341
-5989.23,60,40.04636
-5992.03,60,40.118376
-6028.63,60,40.212397
-6007.04,60,40.274411
-5949.43,60,40.365431
-6062.08,60,40.423444
-5862.93,60,40.520468
-6025.6,60,40.572479
-6058.41,60,40.654497
-6013.31,60,40.706509
-6092.67,60,40.761521
-6072.73,60,40.850551
-5922.15,60,40.909554
-5958.92,60,41.005576
-5856.04,60,41.072591
-5948.82,60,41.20764
-6178.94,60,41.291642
-6014.98,60,41.437672
-6049.97,60,41.529694
-6037.48,60,41.644719
-6063.5,60,41.713736
-6019.95,60,41.822764
-6036.89,60,41.890963
-5984.58,60,42.040492
-5904.44,60,42.139498
-6085.31,60,42.298467
-6027.06,60,42.422456
-5981.47,60,42.513344
-6062.26,60,42.6152
-5967.27,60,42.680451
-5977.6,60,42.765438
-6145.69,60,42.822452
-6044.15,60,42.90247
-5936.07,60,42.959674
-5962.03,60,43.044694
-5978.41,60,43.121711
-5988.26,60,43.233737
-5975.56,60,43.291621
-5999.23,60,43.378641
-5948.95,60,43.442657
-6080.19,60,43.534676
-5960.86,60,43.590688
-6090.5,60,43.664705
-5946.08,60,43.764729
-6032.57,60,43.839746
-5924.71,60,43.929766
-5934.88,60,43.99178
-5960.68,60,44.076798
-6018.99,60,44.153816
-5880.57,60,44.252837
-5981.97,60,44.316852
-6063.22,60,44.414874
-5946.9,60,44.48789
-6087.53,60,44.586923
-5988.69,60,44.642925
-5976.15,60,44.727945
-5903.85,60,44.791959
-5931.89,60,44.88498
-6000.11,60,44.944993
-6037.31,60,45.005007
-6016.72,60,45.092026
-6008.94,60,45.15104
-5963.91,60,45.23806
-5998.74,60,45.358088
-6082.88,60,45.471112
-6035.48,60,45.532126
-6060.8,60,45.619144
-5892.32,60,45.672158
-6002.85,60,45.752175
-6108.2,60,45.805188
-5922.15,60,45.887206
-5864.96,60,45.959232
-5945.55,60,46.138281
-5955.45,60,46.256291
-5934.91,60,46.350311
-6068.38,60,46.494346
-5947.0,60,46.596385
-6073.63,60,46.751403
-5856.83,60,46.837422
-5937.8,60,46.986454
-5970.94,60,47.068473
-5972.77,60,47.1955
-5968.81,60,47.256514
-5940.24,60,47.344534
-5968.15,60,47.403548
-5997.6,60,47.528576
-5941.04,60,47.598593
-6145.35,60,47.704627
-5914.46,60,47.760628
-6016.76,60,47.841646
-6274.06,60,47.913664
-6048.1,60,47.991681
-6111.12,60,48.105707
-6073.34,60,48.181724
-5888.07,60,48.285747
-6062.93,60,48.353764
-5932.77,60,48.461786
-5940.61,60,48.535804
-6142.93,60,48.645828
-5886.6,60,48.701839
-6017.04,60,48.784858
-6138.84,60,48.840881
-5946.39,60,48.923891
-5997.94,60,48.983904
-6064.39,60,49.069924
-6004.11,60,49.128936
