#{"t_start": 1619619263.8068268, "env_id": null}
r,l,t
-5819.58,60,1.715239
-6059.27,60,1.842308
-5873.24,60,1.967579
-5943.77,60,2.088782
-5803.16,60,2.212768
-5821.77,60,2.334796
-5964.9,60,2.460826
-6037.0,60,2.5888
-6126.86,60,2.711846
-5989.46,60,2.834788
-5930.4,60,2.955797
-6079.72,60,3.070804
-5997.06,60,3.16978
-6135.02,60,3.282776
-5985.37,60,3.396783
-5758.31,60,3.499807
-5877.86,60,3.667721
-6045.84,60,4.689826
-6146.14,60,4.808783
-6063.39,60,4.897774
-6105.29,60,4.978775
-6125.55,60,5.057793
-6097.7,60,5.129782
-6043.82,60,5.204778
-6132.1,60,5.274728
-6027.08,60,5.356855
-5951.41,60,5.437763
-6024.38,60,5.511789
-5936.82,60,5.589735
-6183.38,60,5.668754
-6131.15,60,5.76779
-6113.17,60,5.872776
-6120.66,60,5.992802
-5932.81,60,6.123788
-5988.91,60,6.365117
-5852.95,60,6.468138
-6105.32,60,6.589168
-5986.71,60,6.710193
-5961.13,60,6.824237
-6064.73,60,6.934243
-6089.83,60,7.036268
-6170.37,60,7.1423
-5978.07,60,7.258315
-6062.91,60,7.377344
-6156.24,60,7.499388
-6040.52,60,7.620399
-6048.47,60,7.740425
-5993.68,60,7.860453
-6102.16,60,7.981481
-5960.63,60,8.103507
-6213.98,60,8.232554
-6227.84,60,8.402573
-6006.21,60,8.469599
-5969.54,60,8.546605
-6221.89,60,8.622622
-6237.62,60,8.69864
-5998.96,60,8.804664
-6308.72,60,8.888682
-6154.52,60,8.988716
-5960.39,60,9.05372
-6052.9,60,9.116745
-6244.54,60,9.181749
-5949.11,60,9.267768
-6062.76,60,9.338784
-6112.82,60,9.409801
-5848.26,60,9.485818
-6054.9,60,9.567836
-6053.96,60,9.63185
-6109.84,60,9.779885
-6036.37,60,9.846901
-5991.44,60,9.914917
-5964.21,60,9.978929
-6123.75,60,10.081953
-6077.61,60,10.181978
-5938.93,60,10.262011
-6098.4,60,10.348013
-5961.65,60,10.447052
-6112.75,60,10.550058
-5916.32,60,10.616089
-6013.78,60,10.701092
-6112.18,60,10.766122
-6000.37,60,10.841124
-6065.34,60,10.91314
-5981.72,60,11.028183
-6031.47,60,11.096183
-6097.94,60,11.241214
-6061.55,60,11.295225
-6116.39,60,11.351238
-6146.81,60,11.405251
-6226.7,60,11.458263
-6082.9,60,11.514275
-5851.32,60,11.564285
-6197.9,60,11.618298
-6352.1,60,11.668309
-5961.3,60,11.719321
-5958.21,60,11.773333
-6039.18,60,11.826345
-5972.65,60,11.880357
-6117.75,60,11.932369
-5906.44,60,11.987381
-5946.27,60,12.044393
-6065.57,60,12.099407
-6234.17,60,12.226434
-6042.4,60,12.284447
-5964.88,60,12.34046
-6201.23,60,12.391471
-6048.55,60,12.446484
-6121.78,60,12.498497
-5981.01,60,12.552509
-5944.43,60,12.609521
-5965.66,60,12.661543
-5995.14,60,12.716545
-6024.76,60,12.768558
-6000.27,60,12.822569
-6028.45,60,12.877582
-6079.67,60,12.928603
-6049.69,60,12.984605
-5970.71,60,13.037618
-5952.39,60,13.08963
-6056.92,60,13.213667
-6009.73,60,13.268765
-5973.6,60,13.323682
-6032.6,60,13.375704
-6162.16,60,13.427706
-5999.91,60,13.477727
-6141.13,60,13.53573
-6055.1,60,13.588742
-5898.69,60,13.642754
-6031.06,60,13.693766
-6021.11,60,13.744777
-5853.8,60,13.796788
-6135.14,60,13.870815
-5922.4,60,13.954827
-6016.69,60,14.04985
-5947.77,60,14.142868
-6105.16,60,14.236889
-6032.36,60,14.378919
-6079.75,60,14.433931
-6063.96,60,14.491945
-5933.73,60,14.547968
-5899.75,60,14.60297
-5950.05,60,14.653982
-6096.36,60,14.704994
